date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-300.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-300.html	(from https://iamfutures.github.io/rawline.css)
01:07:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-300i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-300i.html	(from https://iamfutures.github.io/rawline.css)
01:07:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/s/19714/rawline-500.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-500.html	(from https://iamfutures.github.io/rawline.css)
01:07:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ac-247b%22	https://iamfutures.github.io/s/19714/rawline-500i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-500i.html	(from https://iamfutures.github.io/rawline.css)
01:07:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-600.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-600.html	(from https://iamfutures.github.io/rawline.css)
01:07:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ac-247b%22	https://iamfutures.github.io/s/19714/rawline-600i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-600i.html	(from https://iamfutures.github.io/rawline.css)
01:07:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/s/19714/rawline-700.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-700.html	(from https://iamfutures.github.io/rawline.css)
01:07:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-700i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-700i.html	(from https://iamfutures.github.io/rawline.css)
01:07:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/s/19714/rawline-800.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-800.html	(from https://iamfutures.github.io/rawline.css)
01:07:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-800i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-800i.html	(from https://iamfutures.github.io/rawline.css)
01:07:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/s/19714/rawline-900.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-900.html	(from https://iamfutures.github.io/rawline.css)
01:07:21	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-900i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-900i.html	(from https://iamfutures.github.io/rawline.css)
01:07:21	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/webfonts/fa-brands-400.woff	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-brands-400.woff	(from https://iamfutures.github.io/all.min.css)
01:07:21	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/webfonts/fa-brands-400.ttf	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-brands-400.ttf	(from https://iamfutures.github.io/all.min.css)
01:07:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/webfonts/fa-regular-400.woff	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-regular-400.woff	(from https://iamfutures.github.io/all.min.css)
01:07:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/webfonts/fa-regular-400.ttf	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-regular-400.ttf	(from https://iamfutures.github.io/all.min.css)
01:07:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/webfonts/fa-solid-900.woff	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-solid-900.woff	(from https://iamfutures.github.io/all.min.css)
01:07:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/webfonts/fa-solid-900.ttf	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/webfonts/fa-solid-900.ttf	(from https://iamfutures.github.io/all.min.css)
01:07:23	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/error_docs/styles.css	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/error_docs/styles.css	(from https://iamfutures.github.io/reset.html)
01:07:23	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ac-247b%22	https://iamfutures.github.io/s.cdpn.io/1231630/clouds_repeat.png	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s.cdpn.io/1231630/clouds_repeat.png	(from https://iamfutures.github.io/index.css)
01:07:24	2756621/2756621	---M--	200	added ('OK')	image/gif	etag:%224006c8cff8b054ca07741fda848d89a8%22	https://i.pinimg.com/originals/62/39/4d/62394d753859943e6a1a36443ef78795.gif	C:/Benim%20Web%20Sitem/atatv44/i.pinimg.com/originals/62/39/4d/62394d753859943e6a1a36443ef78795.gif	(from https://iamfutures.github.io/index.css)
